ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
11818,100949,12,6,0,0,0,City road (municipality),Dry,crossroad,Rain,Day,681768,1824441,16.4948471,100.7029434,Female,15,Injured,1071,1071,pick up
14166,100952,12,6,0,0,0,Roads in Village,Dry,crossroad,Rain,Day,681768,1824441,16.4948471,100.7029434,Male,18,Injured,1071,1071,Van
43651,100949,5,13,50000,1,0,Roads in Village,Wet,Curve,Rain,Day,617254,1851766,16.74586459,100.100035,Male,42,Died later,1071,1071,Sedan/Taxi
674,100958,4,14,10000,1,0,City road (municipality),Dry,crossroad,Foggy,Day,652947,1861123,16.82836652,100.4354618,Male,70,Injured,1071,1071,motorcycle
1776,100949,4,5,0,0,0,City road (municipality),Dry,crossroad,Foggy,Day,622385,1858550,16.80691566,100.1485336,Female,16,Injured,1071,1071,pick up
1876,100947,4,17,5000,1,0,Rural Roads,Dry,crossroad,Foggy,Day,669895,1885078,17.04365328,100.5963068,Female,20,Injured,1071,1071,Sedan/Taxi
1916,100959,4,14,0,1,0,Highways Road,Waves / potholes,crossroad,Foggy,Day,646572,1879572,16.99549945,100.3768533,Female,16,Injured,1071,1071,motorcycle
3240,100965,6,13,0,1,0,Not specified,Waves / potholes,crossroad,Foggy,Day,700222,1893884,17.12077391,100.8819494,Male,41,Died later,1071,1071,motorcycle
4016,100946,4,6,59000,0,0,Roads in Village,Dry,crossroad,Foggy,Day,653038,1859960,16.8178507,100.4362364,Male,60,Died later,1071,1071,Sedan/Taxi
4061,100953,4,14,60000,1,0,Roads in Village,Dry,crossroad,Foggy,Day,653619,1858073,16.80076002,100.4415589,Male,49,Died later,1071,1071,Sedan/Taxi
4087,100958,4,5,0,0,0,City road (municipality),Dry,crossroad,Foggy,Day,619243,1852732,16.75449503,100.1187435,Male,56,Died later,1071,1071,pick up
4370,100953,4,6,60000,0,0,Roads in Village,Dry,crossroad,Foggy,Day,641365,1878362,16.98488926,100.3278731,Male,27,Died later,1071,1071,Sedan/Taxi
4485,100949,4,5,0,0,0,City road (municipality),Dry,crossroad,Foggy,Day,631326,1842378,16.66027273,100.2314885,Female,49,Injured,1071,1071,motorcycle
5309,100949,4,17,15000,3,0,Roads in Village,Dry,crossroad,Foggy,Day,695241,1885777,17.04795857,100.8344324,Male,17,Injured,1071,1071,Bus
6099,100952,3,17,3500,1,0,Highways Road,Dry,crossroad,Rain,Day,696017,1890393,17.08959721,100.84213,Male,43,Injured,1071,1071,pick up
6375,100956,4,17,5000,1,0,Rural Roads,Dry,crossroad,Rain,Day,704939,1900720,17.18211515,100.9269051,Male,22,Injured,1071,1071,motorcycle
